,2020,2021,2022,2023,2024,2025,2026,2027
current_law_All,146.26,128.26,175.78,194.68,215.58,238.66,264.17,292.36
reform_All,146.26,128.26,175.78,194.68,215.58,238.66,264.17,292.36
current_law_Hotels,0.02,0.02,0.02,0.03,0.03,0.03,0.04,0.04
reform_Hotels,0.02,0.02,0.02,0.03,0.03,0.03,0.04,0.04
current_law_Gen Business,73.59,76.07,90.84,100.98,112.21,124.64,138.39,153.62
reform_Gen Business,73.59,76.07,90.84,100.98,112.21,124.64,138.39,153.62
current_law_Oil & Gas,44.90,24.73,51.40,56.67,62.48,68.88,75.94,83.72
reform_Oil & Gas,44.90,24.73,51.40,56.67,62.48,68.88,75.94,83.72
current_law_Banks,27.76,27.44,33.52,37.01,40.86,45.11,49.80,54.98
reform_Banks,27.76,27.44,33.52,37.01,40.86,45.11,49.80,54.98
