,index,vatax_2018,vatax_2019,vatax_2020,vatax_2021,vatax_2022,vatax_ref_2022,vatax_ref_2023,vatax_ref_2024,vatax_ref_2025,vatax_ref_2026,vatax_ref_2027
0,<0,0,0,0,0,0,0,0,0,0,0,0
1,=0,0,0,0,0,0,0,0,0,0,0,0
2,0-12 m,"10,842,149","11,149,413","16,031,971","10,207,792","5,837,839","5,837,839","4,553,386","3,622,041","3,035,458","2,510,042","2,026,421"
3,12-25m,"78,277,742","79,081,171","92,199,986","76,240,893","55,058,996","55,058,996","46,042,059","39,695,808","33,705,271","28,097,459","23,636,914"
4,25-35m,"78,960,019","79,196,920","75,812,105","78,995,191","77,263,094","77,263,094","72,162,558","66,458,793","59,225,188","53,231,327","46,859,332"
5,35-50m,"106,354,114","104,810,107","88,078,224","107,463,863","116,012,484","116,012,484","117,850,411","119,336,299","120,628,621","115,667,529","109,749,696"
6,50-65m,"72,152,494","71,162,709","50,322,126","76,062,560","102,760,194","102,760,194","110,400,390","113,463,280","113,146,782","117,806,320","119,285,045"
7,65-75m,"30,498,429","30,368,515","25,678,693","32,484,924","52,858,608","52,858,608","60,295,678","66,706,008","73,979,372","75,513,840","75,525,654"
8,75-100m,"56,010,732","54,072,895","35,264,121","59,374,937","85,600,951","85,600,951","106,303,935","124,230,311","140,117,924","155,392,847","171,806,245"
9,100-150m,"45,229,421","44,336,338","30,236,961","48,331,067","87,784,552","87,784,552","109,135,468","128,003,595","152,065,396","177,466,770","201,050,057"
10,>150m,"59,145,284","57,289,728","35,897,566","62,836,451","104,889,006","104,889,006","137,596,103","166,983,853","202,141,672","247,743,033","305,201,105"
11,ALL,"537,470,384","531,467,797","449,521,753","551,997,679","688,065,724","688,065,724","764,339,988","828,499,987","898,045,685","973,429,168","1,055,140,468"
